i,j,name_i,name_j,distance,type
0,1,kj,kj,0.274570,intra
0,2,kj,kj,0.470432,intra
0,3,kj,kj,0.378743,intra
0,4,kj,kj,0.409136,intra
0,5,kj,kj,0.382811,intra
0,6,kj,kj,0.398808,intra
0,7,kj,kj,0.394736,intra
0,8,kj,kj,0.418594,intra
0,9,kj,kj,0.497996,intra
0,10,kj,kj,0.491281,intra
0,11,kj,kj,0.497443,intra
1,2,kj,kj,0.461610,intra
1,3,kj,kj,0.356463,intra
1,4,kj,kj,0.359359,intra
1,5,kj,kj,0.335614,intra
1,6,kj,kj,0.339030,intra
1,7,kj,kj,0.379665,intra
1,8,kj,kj,0.373663,intra
1,9,kj,kj,0.437018,intra
1,10,kj,kj,0.466708,intra
1,11,kj,kj,0.470173,intra
2,3,kj,kj,0.503241,intra
2,4,kj,kj,0.484839,intra
2,5,kj,kj,0.448687,intra
2,6,kj,kj,0.408272,intra
2,7,kj,kj,0.462814,intra
2,8,kj,kj,0.423520,intra
2,9,kj,kj,0.611464,intra
2,10,kj,kj,0.623496,intra
2,11,kj,kj,0.650241,intra
3,4,kj,kj,0.230468,intra
3,5,kj,kj,0.205288,intra
3,6,kj,kj,0.260577,intra
3,7,kj,kj,0.241413,intra
3,8,kj,kj,0.313072,intra
3,9,kj,kj,0.418497,intra
3,10,kj,kj,0.440704,intra
3,11,kj,kj,0.488089,intra
4,5,kj,kj,0.146147,intra
4,6,kj,kj,0.218416,intra
4,7,kj,kj,0.198104,intra
4,8,kj,kj,0.239638,intra
4,9,kj,kj,0.420086,intra
4,10,kj,kj,0.452878,intra
4,11,kj,kj,0.486012,intra
5,6,kj,kj,0.204039,intra
5,7,kj,kj,0.181158,intra
5,8,kj,kj,0.230742,intra
5,9,kj,kj,0.418207,intra
5,10,kj,kj,0.457793,intra
5,11,kj,kj,0.512271,intra
6,7,kj,kj,0.214059,intra
6,8,kj,kj,0.244872,intra
6,9,kj,kj,0.483171,intra
6,10,kj,kj,0.520306,intra
6,11,kj,kj,0.560880,intra
7,8,kj,kj,0.272774,intra
7,9,kj,kj,0.448136,intra
7,10,kj,kj,0.493927,intra
7,11,kj,kj,0.556495,intra
8,9,kj,kj,0.487964,intra
8,10,kj,kj,0.526802,intra
8,11,kj,kj,0.543606,intra
9,10,kj,kj,0.463222,intra
9,11,kj,kj,0.426132,intra
10,11,kj,kj,0.371753,intra
